124.0s 310 Epoch:1/51 || Epochiter: 64/202 || Iter: 64/10302 || Loc: 2.4848 Cla: 3.1530 Landm: 11.8243 || LR: 0.00100000 || Batchtime: 2.5195 s || ETA: 7:09:56
125.0s 311 Epoch:1/51 || Epochiter: 65/202 || Iter: 65/10302 || Loc: 2.3545 Cla: 3.1418 Landm: 10.8063 || LR: 0.00100000 || Batchtime: 0.8135 s || ETA: 2:18:48
126.1s 312 Epoch:1/51 || Epochiter: 66/202 || Iter: 66/10302 || Loc: 2.5690 Cla: 3.1806 Landm: 11.0766 || LR: 0.00100000 || Batchtime: 0.8116 s || ETA: 2:18:28
127.2s 313 Epoch:1/51 || Epochiter: 67/202 || Iter: 67/10302 || Loc: 2.5358 Cla: 3.0700 Landm: 10.8704 || LR: 0.00100000 || Batchtime: 0.9425 s || ETA: 2:40:47
130.0s 314 Epoch:1/51 || Epochiter: 68/202 || Iter: 68/10302 || Loc: 2.4176 Cla: 3.1207 Landm: 10.8565 || LR: 0.00100000 || Batchtime: 2.5900 s || ETA: 7:21:48
130.9s 315 Epoch:1/51 || Epochiter: 69/202 || Iter: 69/10302 || Loc: 2.6590 Cla: 3.1482 Landm: 10.9464 || LR: 0.00100000 || Batchtime: 0.7145 s || ETA: 2:01:52
131.9s 316 Epoch:1/51 || Epochiter: 70/202 || Iter: 70/10302 || Loc: 2.5565 Cla: 3.2255 Landm: 11.5562 || LR: 0.00100000 || Batchtime: 0.8227 s || ETA: 2:20:19
133.0s 317 Epoch:1/51 || Epochiter: 71/202 || Iter: 71/10302 || Loc: 2.6163 Cla: 3.1747 Landm: 10.8459 || LR: 0.00100000 || Batchtime: 0.8266 s || ETA: 2:20:57
136.7s 318 Epoch:1/51 || Epochiter: 72/202 || Iter: 72/10302 || Loc: 2.4818 Cla: 3.0739 Landm: 11.0058 || LR: 0.00100000 || Batchtime: 3.5586 s || ETA: 10:06:47
137.5s 319 Epoch:1/51 || Epochiter: 73/202 || Iter: 73/10302 || Loc: 2.3763 Cla: 3.0498 Landm: 9.8570 || LR: 0.00100000 || Batchtime: 0.6122 s || ETA: 1:44:22
138.5s 320 Epoch:1/51 || Epochiter: 74/202 || Iter: 74/10302 || Loc: 2.3403 Cla: 3.0535 Landm: 10.5933 || LR: 0.00100000 || Batchtime: 0.7299 s || ETA: 2:04:26
139.3s 321 Epoch:1/51 || Epochiter: 75/202 || Iter: 75/10302 || Loc: 2.5357 Cla: 3.0985 Landm: 10.6025 || LR: 0.00100000 || Batchtime: 0.6904 s || ETA: 1:57:41
142.5s 322 Epoch:1/51 || Epochiter: 76/202 || Iter: 76/10302 || Loc: 2.2845 Cla: 2.9202 Landm: 9.5824 || LR: 0.00100000 || Batchtime: 3.0007 s || ETA: 8:31:27
143.4s 323 Epoch:1/51 || Epochiter: 77/202 || Iter: 77/10302 || Loc: 2.5130 Cla: 3.0744 Landm: 9.8435 || LR: 0.00100000 || Batchtime: 0.6646 s || ETA: 1:53:15
144.3s 324 Epoch:1/51 || Epochiter: 78/202 || Iter: 78/10302 || Loc: 2.3870 Cla: 3.0011 Landm: 9.8286 || LR: 0.00100000 || Batchtime: 0.7235 s || ETA: 2:03:17
145.4s 325 Epoch:1/51 || Epochiter: 79/202 || Iter: 79/10302 || Loc: 2.3233 Cla: 3.0805 Landm: 9.4505 || LR: 0.00100000 || Batchtime: 0.8434 s || ETA: 2:23:42
148.6s 326 Epoch:1/51 || Epochiter: 80/202 || Iter: 80/10302 || Loc: 2.1629 Cla: 2.9091 Landm: 9.1616 || LR: 0.00100000 || Batchtime: 3.0087 s || ETA: 8:32:38
149.4s 327 Epoch:1/51 || Epochiter: 81/202 || Iter: 81/10302 || Loc: 2.2279 Cla: 3.0069 Landm: 10.3990 || LR: 0.00100000 || Batchtime: 0.5701 s || ETA: 1:37:07
150.2s 328 Epoch:1/51 || Epochiter: 82/202 || Iter: 82/10302 || Loc: 2.5325 Cla: 3.0012 Landm: 11.1353 || LR: 0.00100000 || Batchtime: 0.6201 s || ETA: 1:45:38
151.3s 329 Epoch:1/51 || Epochiter: 83/202 || Iter: 83/10302 || Loc: 2.4190 Cla: 2.9766 Landm: 9.4525 || LR: 0.00100000 || Batchtime: 0.8332 s || ETA: 2:21:55
154.6s 330 Epoch:1/51 || Epochiter: 84/202 || Iter: 84/10302 || Loc: 2.5667 Cla: 2.9411 Landm: 10.8453 || LR: 0.00100000 || Batchtime: 3.1664 s || ETA: 8:59:17
155.6s 331 Epoch:1/51 || Epochiter: 85/202 || Iter: 85/10302 || Loc: 2.3604 Cla: 3.0135 Landm: 10.2371 || LR: 0.00100000 || Batchtime: 0.7373 s || ETA: 2:05:33
156.5s 332 Epoch:1/51 || Epochiter: 86/202 || Iter: 86/10302 || Loc: 2.3165 Cla: 2.9752 Landm: 10.2267 || LR: 0.00100000 || Batchtime: 0.7861 s || ETA: 2:13:51
157.5s 333 Epoch:1/51 || Epochiter: 87/202 || Iter: 87/10302 || Loc: 2.4077 Cla: 2.9037 Landm: 9.1403 || LR: 0.00100000 || Batchtime: 0.7983 s || ETA: 2:15:55
160.7s 334 Epoch:1/51 || Epochiter: 88/202 || Iter: 88/10302 || Loc: 2.1040 Cla: 2.8791 Landm: 8.8060 || LR: 0.00100000 || Batchtime: 2.9365 s || ETA: 8:19:56
161.8s 335 Epoch:1/51 || Epochiter: 89/202 || Iter: 89/10302 || Loc: 2.3173 Cla: 2.9704 Landm: 9.2951 || LR: 0.00100000 || Batchtime: 0.8952 s || ETA: 2:32:23
162.8s 336 Epoch:1/51 || Epochiter: 90/202 || Iter: 90/10302 || Loc: 2.0605 Cla: 2.8319 Landm: 8.4776 || LR: 0.00100000 || Batchtime: 0.8319 s || ETA: 2:21:36
163.7s 337 Epoch:1/51 || Epochiter: 91/202 || Iter: 91/10302 || Loc: 2.5021 Cla: 2.9815 Landm: 11.0071 || LR: 0.00100000 || Batchtime: 0.6806 s || ETA: 1:55:49
167.2s 338 Epoch:1/51 || Epochiter: 92/202 || Iter: 92/10302 || Loc: 2.0178 Cla: 2.7424 Landm: 8.3199 || LR: 0.00100000 || Batchtime: 3.3452 s || ETA: 9:29:18
168.2s 339 Epoch:1/51 || Epochiter: 93/202 || Iter: 93/10302 || Loc: 2.1427 Cla: 2.9231 Landm: 9.5973 || LR: 0.00100000 || Batchtime: 0.7449 s || ETA: 2:06:45
169.2s 340 Epoch:1/51 || Epochiter: 94/202 || Iter: 94/10302 || Loc: 2.1164 Cla: 2.9002 Landm: 9.1668 || LR: 0.00100000 || Batchtime: 0.7619 s || ETA: 2:09:38
170.1s 341 Epoch:1/51 || Epochiter: 95/202 || Iter: 95/10302 || Loc: 2.2999 Cla: 2.8381 Landm: 9.1613 || LR: 0.00100000 || Batchtime: 0.7796 s || ETA: 2:12:37
173.5s 342 Epoch:1/51 || Epochiter: 96/202 || Iter: 96/10302 || Loc: 2.1749 Cla: 2.8328 Landm: 9.5815 || LR: 0.00100000 || Batchtime: 3.1383 s || ETA: 8:53:53
174.4s 343 Epoch:1/51 || Epochiter: 97/202 || Iter: 97/10302 || Loc: 2.4781 Cla: 2.9662 Landm: 9.8082 || LR: 0.00100000 || Batchtime: 0.7150 s || ETA: 2:01:37
175.4s 344 Epoch:1/51 || Epochiter: 98/202 || Iter: 98/10302 || Loc: 2.2293 Cla: 2.8490 Landm: 10.4102 || LR: 0.00100000 || Batchtime: 0.8158 s || ETA: 2:18:44
176.3s 345 Epoch:1/51 || Epochiter: 99/202 || Iter: 99/10302 || Loc: 1.9614 Cla: 2.7966 Landm: 8.5517 || LR: 0.00100000 || Batchtime: 0.6946 s || ETA: 1:58:07
179.8s 346 Epoch:1/51 || Epochiter: 100/202 || Iter: 100/10302 || Loc: 1.9246 Cla: 2.7079 Landm: 8.0862 || LR: 0.00100000 || Batchtime: 3.2751 s || ETA: 9:16:56
180.9s 347 Epoch:1/51 || Epochiter: 101/202 || Iter: 101/10302 || Loc: 2.2333 Cla: 2.8719 Landm: 8.9670 || LR: 0.00100000 || Batchtime: 0.8709 s || ETA: 2:28:05
181.8s 348 Epoch:1/51 || Epochiter: 102/202 || Iter: 102/10302 || Loc: 2.2055 Cla: 2.9400 Landm: 9.5567 || LR: 0.00100000 || Batchtime: 0.6946 s || ETA: 1:58:05
182.7s 349 Epoch:1/51 || Epochiter: 103/202 || Iter: 103/10302 || Loc: 2.3717 Cla: 2.9069 Landm: 9.1713 || LR: 0.00100000 || Batchtime: 0.7256 s || ETA: 2:03:21
185.6s 350 Epoch:1/51 || Epochiter: 104/202 || Iter: 104/10302 || Loc: 2.0079 Cla: 2.8295 Landm: 8.6625 || LR: 0.00100000 || Batchtime: 2.7125 s || ETA: 7:41:04
186.5s 351 Epoch:1/51 || Epochiter: 105/202 || Iter: 105/10302 || Loc: 2.0599 Cla: 2.6776 Landm: 8.3467 || LR: 0.00100000 || Batchtime: 0.7017 s || ETA: 1:59:16
187.4s 352 Epoch:1/51 || Epochiter: 106/202 || Iter: 106/10302 || Loc: 2.4765 Cla: 2.9035 Landm: 9.5682 || LR: 0.00100000 || Batchtime: 0.6908 s || ETA: 1:57:24
188.3s 353 Epoch:1/51 || Epochiter: 107/202 || Iter: 107/10302 || Loc: 2.3521 Cla: 2.7084 Landm: 9.8818 || LR: 0.00100000 || Batchtime: 0.6463 s || ETA: 1:49:50
191.3s 354 Epoch:1/51 || Epochiter: 108/202 || Iter: 108/10302 || Loc: 2.2520 Cla: 2.7225 Landm: 9.8212 || LR: 0.00100000 || Batchtime: 2.7894 s || ETA: 7:53:58
192.3s 355 Epoch:1/51 || Epochiter: 109/202 || Iter: 109/10302 || Loc: 1.9697 Cla: 2.7174 Landm: 8.1343 || LR: 0.00100000 || Batchtime: 0.7185 s || ETA: 2:02:04
